"PICTURE","ITEM_NUM","UPC"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CTC_32_3/1.jpg","#400040","739698400044"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60CTC_32_3/1.jpg","#400060","739698400068"
"https://s3.amazonaws.com/bulbrite/product-images/Product/5CTC_25_3/1.jpg","#400105","739698401058"
"https://s3.amazonaws.com/bulbrite/product-images/Product/15CTC_25_3/1.jpg","#400115","739698400112"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CTC_25_3/1.jpg","#400125","739698400129"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CTC_25_3/1.jpg","#400140","739698400143"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CTC_E14/1.jpg","#400425","739698400426"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CTC_E14/1.jpg","#400440","739698400440"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60CTC_E14/1.jpg","#400460","739698400464"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CTC_HV/1.jpg","#400525","739698400525"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CTC_HV/1.jpg","#400540","739698400549"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60CTC_HV/1.jpg","#400560","739698400563"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CTF_32_3/1.jpg","#401025","739698401027"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CTF_32_3/1.jpg","#401040","739698401041"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60CTF_32_3/1.jpg","#401060","739698401065"
"https://s3.amazonaws.com/bulbrite/product-images/Product/15CTF_25_3/1.jpg","#401115","739698401119"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CTF_25_3/1.jpg","#401125","739698401126"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CTF_25_3/1.jpg","#401140","739698401140"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CTF_E14/1.jpg","#401425","739698401423"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CTF_E14/1.jpg","#401440","739698401447"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60CTF_E14/1.jpg","#401460","739698401461"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CTW_32_3/1.jpg","#402025","739698402024"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CTW_32_3/1.jpg","#402040","739698402048"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60CTW_32_3/1.jpg","#402060","739698402062"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CFC_32_3/1.jpg","#403025","739698403021"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CFC_32_3/1.jpg","#403040","739698403045"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60CFC_32_3/1.jpg","#403060","739698403069"
"https://s3.amazonaws.com/bulbrite/product-images/Product/15CFC_25_3/1.jpg","#403115","739698403113"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CFC_25_3/1.jpg","#403125","739698403120"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CFC_25_3/1.jpg","#403140","739698403144"
"https://s3.amazonaws.com/bulbrite/product-images/Product/10CFC_20_3/1.jpg","#403210","739698403212"
"https://s3.amazonaws.com/bulbrite/product-images/Product/7.5CFC_15_3/1.jpg","#403307","739698403304"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CFC_HV/1.jpg","#403525","739698403526"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CFC_HV/1.jpg","#403540","739698403540"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60CFC_HV/1.jpg","#403560","739698403564"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CFF_32_3/1.jpg","#404025","739698404028"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CFF_32_3/1.jpg","#404040","739698404042"
"https://s3.amazonaws.com/bulbrite/product-images/Product/60CFF_32_3/1.jpg","#404060","739698404066"
"https://s3.amazonaws.com/bulbrite/product-images/Product/15CFF_25_3/1.jpg","#404115","739698404110"
"https://s3.amazonaws.com/bulbrite/product-images/Product/25CFF_25_3/1.jpg","#404125","739698404127"
"https://s3.amazonaws.com/bulbrite/product-images/Product/40CFF_25_3/1.jpg","#404140","739698404141"
"https://s3.amazonaws.com/bulbrite/product-images/Product/10CFF_20_3/1.jpg","#404210","739698404219"
